"season_tag","name","position","team","total_points","matches_played","assists","bonus","bps","clean_sheets","creativity","goals_conceded","goals_scored","ict_index","influence","minutes","own_goals","penalties_missed","penalties_saved","red_cards","saves","threat","yellow_cards"
2,"Fabian Schär","DEF","Newcastle",87,24,0.0833333333333333,0.416666666666667,15.6666666666667,0.25,4.7875,1.33333333333333,0.0833333333333333,3.35416666666667,19.25,90,0,0,0,0,0,9.41666666666667,0.166666666666667
2,"Fabio Henrique Tavares","MID","Liverpool",97,29,0.0344827586206897,0.241379310344828,15.1034482758621,0.517241379310345,9.73103448275862,0.620689655172414,0.172413793103448,3.77241379310345,17.3034482758621,90,0,0,0,0,0,10.6896551724138,0.241379310344828
2,"Fabio Silva","FWD","Wolves",29,21,0.0476190476190476,0,2.04761904761905,0,2.24761904761905,0.333333333333333,0,1.48571428571429,1,9,0,0,0,0,0,12.0952380952381,0
2,"Federico Fernández","DEF","Newcastle",11,7,0.142857142857143,0,13,0,1.97142857142857,1.71428571428571,0,3.02857142857143,18.4857142857143,90,0,0,0,0,0,9.85714285714286,0
2,"Fernando Luiz Rosa","MID","Man City",43,18,0.0555555555555556,0.111111111111111,10.8333333333333,0.166666666666667,8.88888888888889,0.555555555555556,0.111111111111111,2.87222222222222,11.7,45,0,0,0,0,0,8.05555555555556,0.0555555555555556
2,"Fernando Marçal","DEF","Wolves",67,18,0.166666666666667,0.277777777777778,16.3888888888889,0.333333333333333,10.4055555555556,0.777777777777778,0,3.12777777777778,13.7333333333333,90,0,0,0,0,0,7.5,0.166666666666667
2,"Ferran Torres","MID","Man City",26,4,0.25,0.5,16.25,0.75,7.5,0.25,0.5,8.075,22.15,76.5,0,0,0,0,0,51,0
2,"Finley Stevens","DEF","Brentford",1,1,0,0,4,0,10.3,0,0,2.1,8.6,14,0,0,0,0,0,2,0
2,"Folarin Balogun","FWD","Arsenal",2,2,0,0,1,0,1.85,0.5,0,0.95,2.1,34.5,0,0,0,0,0,8.5,0
2,"Francisco Femenía Far","DEF","Watford",53,27,0.185185185185185,0.037037037037037,14.2592592592593,0.0740740740740741,14.5888888888889,1.81481481481481,0,3.1,14.962962962963,90,0,0,0,0,0,1.33333333333333,0.0740740740740741
